#,first_layer,second_layer,batch,mape
219,2,3,20000,14.8473193028
220,2,4,32,14.6673056656
221,2,4,100,14.9615639365
222,2,4,200,15.1752835265
223,2,4,300,15.0582968745
224,2,4,500,15.2378982931
225,2,4,1000,17.0760701188
226,2,4,2000,33.1507681948
227,2,4,5000,24.6354144343
228,2,4,10000,17.5273319882
229,2,4,20000,20.0474363359
230,2,5,32,14.569039289
231,2,5,100,15.0554289042
232,2,5,200,15.0184254948
233,2,5,300,14.9754071339
234,2,5,500,15.4578687256
235,2,5,1000,15.2679237729
236,2,5,2000,33.7225865471
237,2,5,5000,25.7415124204
238,2,5,10000,20.8718628967
239,2,5,20000,20.41443737
240,2,6,32,14.324672866
241,2,6,100,14.8004221832
242,2,6,200,14.8203063831
243,2,6,300,15.0537317182
244,2,6,500,15.3477353407
245,2,6,1000,15.3663818763
246,2,6,2000,33.7007174636
247,2,6,5000,21.3979813341
248,2,6,10000,22.7567140887
249,2,6,20000,22.06005106
250,2,7,32,14.3113096048
251,2,7,100,14.7341519626
252,2,7,200,14.8510650016
253,2,7,300,14.5296053334
254,2,7,500,15.0950870128
255,2,7,1000,15.1251286362
256,2,7,2000,34.5152327577
257,2,7,5000,25.39139473
258,2,7,10000,18.3799998304
259,2,7,20000,18.6889301024
260,2,8,32,14.1281189688
261,2,8,100,14.5313759956
262,2,8,200,14.8493969005
263,2,8,300,14.6558592493
264,2,8,500,14.891349705
265,2,8,1000,15.6172561893
266,2,8,2000,39.799092506
267,2,8,5000,37.1851790755
268,2,8,10000,28.0980521542
269,2,8,20000,25.5552501839
270,2,9,32,14.017815477
271,2,9,100,14.3616878319
272,2,9,200,14.6872791324
273,2,9,300,14.819275784
274,2,9,500,22.6086101432
275,2,9,1000,39.1213022653
276,2,9,2000,37.4569430385
277,2,9,5000,38.5654463702
278,2,9,10000,29.9768028202
279,2,9,20000,35.4039240603
280,2,10,32,14.0436563075
281,2,10,100,14.5412056313
282,2,10,200,14.6952861107
283,2,10,300,14.2938079232
284,2,10,500,15.2066191804
285,2,10,1000,42.8026783309
286,2,10,2000,40.4128090167
287,2,10,5000,38.6180521793
288,2,10,10000,39.1672271468
289,2,10,20000,37.512038648
290,2,11,32,13.9195287089
291,2,11,100,14.3571160672
292,2,11,200,14.5810233616
293,2,11,300,14.7551325534
294,2,11,500,15.5860658254
295,2,11,1000,43.0091087881
296,2,11,2000,47.3754025135
297,2,11,5000,41.9420581135
298,2,11,10000,37.1751203661
299,2,11,20000,37.493950919
300,2,12,32,13.917125068
301,2,12,100,14.2314219954
302,2,12,200,14.656006046
303,2,12,300,14.680412449
304,2,12,500,28.824073181
305,2,12,1000,54.0269778602
306,2,12,2000,42.0192111464
307,2,12,5000,44.4234563236
308,2,12,10000,41.1213026493
309,2,12,20000,37.5086930866
310,2,13,32,13.7982253917
311,2,13,100,14.3219810968
312,2,13,200,14.6254879132
313,2,13,300,14.706731462
314,2,13,500,38.8698533297
315,2,13,1000,50.5938659081
316,2,13,2000,51.6992930902
317,2,13,5000,50.1077025908
318,2,13,10000,44.305906863
319,2,13,20000,37.2785475597
320,2,14,32,14.0656629251
321,2,14,100,14.1954182056
322,2,14,200,14.5999878097
323,2,14,300,13.6760810739
324,2,14,500,44.562626045
325,2,14,1000,53.567725998
326,2,14,2000,53.3702497084
327,2,14,5000,46.8026236642
328,2,14,10000,52.0937835772
329,2,14,20000,37.6165798495
330,2,15,32,14.0365602873
331,2,15,100,14.2501134001
332,2,15,200,14.5544736224
333,2,15,300,14.6823632526
334,2,15,500,48.3241041397
335,2,15,1000,54.5004897545
336,2,15,2000,54.3643433504
337,2,15,5000,49.2327745677
338,2,15,10000,38.4542696607
339,2,15,20000,37.2402357467
340,2,16,32,13.9415137275
341,2,16,100,14.3261924871
342,2,16,200,14.5342564002
343,2,16,300,14.6264854455
344,2,16,500,14.9945123141
345,2,16,1000,56.15063609
346,2,16,2000,54.4361838715
347,2,16,5000,53.9454650502
348,2,16,10000,51.3692494406
349,2,16,20000,37.5316991173
350,2,17,32,13.8695799654
351,2,17,100,14.1804319046
352,2,17,200,13.4677538338
353,2,17,300,22.2878735509
354,2,17,500,60.8003004566
355,2,17,1000,60.3916266481
356,2,17,2000,57.3596395528
357,2,17,5000,51.6638210299
358,2,17,10000,51.7759323839
359,2,17,20000,38.4425768617
360,2,18,32,13.7302238772
361,2,18,100,14.2057936536
362,2,18,200,14.5017715968
363,2,18,300,27.786727838
364,2,18,500,42.7277110527
365,2,18,1000,63.187055903
366,2,18,2000,59.8517780358
367,2,18,5000,50.2445174234
368,2,18,10000,47.8932723295
